Numero;Sexo;Estado Civil;Edad;Grado Academico;Estado Academico;Provincia;Partido Politico;Genero;Respuesta
1;M;U;49;Universitaria;Incompleta;Cartago;Accesibilidad sin Exclusión;Transexual;N
2;M;V;48;Primaria;Incompleta;San José;Republicano Social Cristiano;Graysexual;N
3;M;U;25;Educación;Técnica;Cartago;Liberación Nacional;Metrosexual;S
4;F;C;53;Universitaria;Incompleta;Heredia;Frente Amplio;Bisexual;S
5;M;S;42;Primaria;Incompleta;Cartago;Frente Amplio;Homosexual;S
6;M;C;36;Secundaria;Completa;San José;Partido Integración Nacional;Transexual;N
7;M;S;40;Primaria;Completa;Puntarenas;Liberación Nacional;Hetrosexual;N
8;M;S;64;Primaria;Incompleta;Puntarenas;Partido Integración Nacional;Demisexual;N
9;M;U;56;Universitaria;Completa;Cartago;Partido Integración Nacional;Asexual;S
10;M;C;37;Secundaria;Incompleta;Guanacaste;Movimiento Libertario;Homosexual;S
11;F;S;41;Secundaria;Incompleta;Puntarenas;Movimiento Libertario;Metrosexual;N
12;M;S;48;Primaria;Completa;San José;Frente Amplio;Homosexual;S
13;M;U;64;Universitaria;Completa;Guanacaste;Liberación Nacional;Demisexual;N
14;F;D;61;Universitaria;Incompleta;Guanacaste;Republicano Social Cristiano;Hetrosexual;S
15;F;C;58;Secundaria;Completa;Alajuela;Unidad Social Cristiana;Demisexual;N
16;F;C;45;No;Aplica;Heredia;Movimiento Libertario;Homosexual;N
17;F;S;44;Primaria;Incompleta;Limón;Frente Amplio;Graysexual;N
18;M;V;31;Primaria;Completa;San José;Renovación Costarricense;Bisexual;N
19;M;U;56;No;Aplica;Heredia;Liberación Nacional;Metrosexual;S
20;F;S;62;Secundaria;Incompleta;Heredia;Republicano Social Cristiano;Graysexual;N
21;F;V;19;Universitaria;Completa;Cartago;Republicano Social Cristiano;Hetrosexual;N
22;M;D;50;Secundaria;Completa;Puntarenas;Movimiento Libertario;Antrosexual;N
23;M;D;18;Secundaria;Incompleta;Limón;Republicano Social Cristiano;Bisexual;N
24;F;D;25;Educación;Técnica;Guanacaste;Movimiento Libertario;Homosexual;N
